CODGEO;REG;DEP;LIBGEO;Zone en vigueur depuis le 5 juillet 2024;Reclassement juillet 2024
57630;44;57;Sarrebourg;C;Non
57631;44;57;Sarreguemines;B2;Non
57633;44;57;Sarreinsming;B2;Non
57634;44;57;Saulny;B2;Non
57635;44;57;Schalbach;C;Non
57636;44;57;Schmittviller;B2;Non
57637;44;57;Schneckenbusch;C;Non
57638;44;57;Schneck;B2;Non
57639;44;57;Schorbach;C;Non
57640;44;57;Schwerdorff;C;Non
57641;44;57;Schweyen;C;Non
57642;44;57;Scy-Chazelles;B2;Non
57643;44;57;Secourt;C;Non
57644;44;57;Seingbouse;B2;Non
57645;44;57;Semécourt;B2;Non
57647;44;57;Serémange-Erzange;B2;Non
57648;44;57;Servigny-lès-Raville;C;Non
57649;44;57;Servigny-lès-Sainte-Barbe;C;Non
57650;44;57;Sierck-les-Bains;B2;Non
57651;44;57;Siersthal;C;Non
57652;44;57;Sillegny;C;Non
57653;44;57;Silly-en-Saulnois;C;Non
57654;44;57;Silly-sur-Nied;C;Non
57655;44;57;Solgne;C;Non
57656;44;57;Sorbey;C;Non
57657;44;57;Sotzeling;C;Non
57658;44;57;Soucht;C;Non
57659;44;57;Spicheren;B2;Non
57660;44;57;Stiring-Wendel;B2;Non
57661;44;57;Sturzelbronn;C;Non
57662;44;57;Suisse;C;Non
57663;44;57;Talange;B1;Oui
57664;44;57;Tarquimpol;C;Non
57665;44;57;Tenteling;B2;Non
57666;44;57;Terville;B1;Oui
57667;44;57;Téterchen;C;Non
57668;44;57;Teting-sur-Nied;C;Non
57669;44;57;Théding;B2;Non
57670;44;57;Thicourt;C;Non
57671;44;57;Thimonville;C;Non
57672;44;57;Thionville;B1;Non
57673;44;57;Thonville;C;Non
57674;44;57;Tincry;C;Non
57675;44;57;Torcheville;C;Non
57676;44;57;Tragny;C;Non
57677;44;57;Trémery;B2;Non
57678;44;57;Tressange;B2;Non
57679;44;57;Tritteling-Redlach;C;Non
57680;44;57;Troisfontaines;C;Non
57681;44;57;Tromborn;C;Non
57682;44;57;Turquestein-Blancrupt;C;Non
57683;44;57;Uckange;B1;Oui
57684;44;57;Vahl-Ebersing;C;Non
57685;44;57;Vahl-lès-Bénestroff;C;Non
57686;44;57;Vahl-lès-Faulquemont;C;Non
57687;44;57;Vallerange;C;Non
57689;44;57;Valmestroff;C;Non
57690;44;57;Valmont;B2;Non
57691;44;57;Valmunster;C;Non
57692;44;57;Vannecourt;C;Non
57693;44;57;Vantoux;B2;Non
57694;44;57;Vany;B2;Non
