"MIRIBEL";"Miribel";"01700";"01249";2
"MISERIEUX";"Misérieux";"01600";"01250";3
"MOGNENEINS";"Mogneneins";"01140";"01252";3
"MONTAGNAT";"Montagnat";"01250";"01254";3
"MONTAGNIEU";"Montagnieu";"01470";"01255";3
"MONTANGES";"Montanges";"01200";"01257";3
"MONTCEAUX";"Montceaux";"01090";"01258";3
"MONTCET";"Montcet";"01310";"01259";3
"LE MONTELLIER";"Le Montellier";"01800";"01260";3
"MONTHIEUX";"Monthieux";"01390";"01261";3
"MONTLUEL";"Montluel";"01120";"01262";2
"MONTMERLE SUR SAONE";"Montmerle-sur-Saône";"01090";"01263";3
"MONTRACOL";"Montracol";"01310";"01264";3
"MONTREAL LA CLUSE";"Montréal-la-Cluse";"01460";"01265";3
"MONTREVEL EN BRESSE";"Montrevel-en-Bresse";"01340";"01266";3
"NURIEUX VOLOGNAT";"Nurieux-Volognat";"01460";"01267";3
"MURS ET GELIGNIEUX";"Murs-et-Gélignieux";"01300";"01268";3
"NANTUA";"Nantua";"01130";"01269";3
"NANTUA";"Nantua";"01460";"01269";3
"NATTAGES";"Nattages";"01300";"01271";3
"NEUVILLE LES DAMES";"Neuville-les-Dames";"01400";"01272";3
"NEUVILLE SUR AIN";"Neuville-sur-Ain";"01160";"01273";3
"LES NEYROLLES";"Les Neyrolles";"01130";"01274";3
"NEYRON";"Neyron";"01700";"01275";2
"NIEVROZ";"Niévroz";"01120";"01276";3
"NIVOLLET MONTGRIFFON";"Nivollet-Montgriffon";"01230";"01277";3
"ONCIEU";"Oncieu";"01230";"01279";3
"ORDONNAZ";"Ordonnaz";"01510";"01280";3
"ORNEX";"Ornex";"01210";"01281";2
"OUTRIAZ";"Outriaz";"01430";"01282";3
"OYONNAX";"Oyonnax";"01100";"01283";3
"OZAN";"Ozan";"01190";"01284";3
"PARCIEUX";"Parcieux";"01600";"01285";2
"PARVES";"Parves";"01300";"01286";3
"PERONNAS";"Péronnas";"01960";"01289";3
"PEROUGES";"Pérouges";"01800";"01290";3
"PERREX";"Perrex";"01540";"01291";3
"LE PETIT ABERGEMENT";"Le Petit-Abergement";"01260";"01292";3
"PEYRIAT";"Peyriat";"01430";"01293";3
"PEYRIEU";"Peyrieu";"01300";"01294";3
"PEYZIEUX SUR SAONE";"Peyzieux-sur-Saône";"01140";"01295";3
"PIRAJOUX";"Pirajoux";"01270";"01296";3
"PIZAY";"Pizay";"01120";"01297";3
"PLAGNE";"Plagne";"01130";"01298";3
"LE PLANTAY";"Le Plantay";"01330";"01299";3
"LE POIZAT";"Le Poizat";"01130";"01300";3
"POLLIAT";"Polliat";"01310";"01301";3
"POLLIEU";"Pollieu";"01350";"01302";3
"PONCIN";"Poncin";"01450";"01303";3
"PONT D AIN";"Pont-d'Ain";"01160";"01304";3
"PONT DE VAUX";"Pont-de-Vaux";"01190";"01305";3
"PONT DE VEYLE";"Pont-de-Veyle";"01290";"01306";3
"PORT";"Port";"01460";"01307";3
"POUGNY";"Pougny";"01550";"01308";2
"POUILLAT";"Pouillat";"01250";"01309";3
"PREMEYZEL";"Prémeyzel";"01300";"01310";3
"PREMILLIEU";"Prémillieu";"01110";"01311";3
"PRESSIAT";"Pressiat";"01370";"01312";3
"PREVESSIN MOENS";"Prévessin-Moëns";"01280";"01313";2
"PRIAY";"Priay";"01160";"01314";3
"PUGIEU";"Pugieu";"01510";"01316";3
"RAMASSE";"Ramasse";"01250";"01317";3
"RANCE";"Rancé";"01390";"01318";3
"RELEVANT";"Relevant";"01990";"01319";3
"REPLONGES";"Replonges";"01750";"01320";3
"REVONNAS";"Revonnas";"01250";"01321";3
"REYRIEUX";"Reyrieux";"01600";"01322";2
"REYSSOUZE";"Reyssouze";"01190";"01323";3
"RIGNIEUX LE FRANC";"Rignieux-le-Franc";"01800";"01325";3
"ROMANS";"Romans";"01400";"01328";3
"ROSSILLON";"Rossillon";"01510";"01329";3
"RUFFIEU";"Ruffieu";"01260";"01330";3
"ST ALBAN";"Saint-Alban";"01450";"01331";3
"ST ANDRE DE BAGE";"Saint-André-de-Bâgé";"01380";"01332";3
"ST ANDRE DE CORCY";"Saint-André-de-Corcy";"01390";"01333";3
"ST ANDRE D HUIRIAT";"Saint-André-d'Huiriat";"01290";"01334";3
"ST ANDRE LE BOUCHOUX";"Saint-André-le-Bouchoux";"01240";"01335";3
"ST ANDRE SUR VIEUX JONC";"Saint-André-sur-Vieux-Jonc";"01960";"01336";3
"ST BENIGNE";"Saint-Bénigne";"01190";"01337";3
"ST BENOIT";"Saint-Benoît";"01300";"01338";3
"ST BERNARD";"Saint-Bernard";"01600";"01339";3
"ST BOIS";"Saint-Bois";"01300";"01340";3
"ST CHAMP";"Saint-Champ";"01300";"01341";3
"STE CROIX";"Sainte-Croix";"01120";"01342";3
"ST CYR SUR MENTHON";"Saint-Cyr-sur-Menthon";"01380";"01343";3
"ST DENIS LES BOURG";"Saint-Denis-lès-Bourg";"01000";"01344";3
"ST DENIS EN BUGEY";"Saint-Denis-en-Bugey";"01500";"01345";3
"ST DIDIER D AUSSIAT";"Saint-Didier-d'Aussiat";"01340";"01346";3
"ST DIDIER DE FORMANS";"Saint-Didier-de-Formans";"01600";"01347";2
"ST DIDIER SUR CHALARONNE";"Saint-Didier-sur-Chalaronne";"01140";"01348";3
"ST ELOI";"Saint-Éloi";"01800";"01349";3
"ST ETIENNE DU BOIS";"Saint-Étienne-du-Bois";"01370";"01350";3
"ST ETIENNE SUR CHALARONNE";"Saint-Étienne-sur-Chalaronne";"01140";"01351";3
"ST ETIENNE SUR REYSSOUZE";"Saint-Étienne-sur-Reyssouze";"01190";"01352";3
"STE EUPHEMIE";"Sainte-Euphémie";"01600";"01353";3
"ST GENIS POUILLY";"Saint-Genis-Pouilly";"01630";"01354";2
"ST GENIS SUR MENTHON";"Saint-Genis-sur-Menthon";"01380";"01355";3
"ST GEORGES SUR RENON";"Saint-Georges-sur-Renon";"01400";"01356";3
"ST GERMAIN DE JOUX";"Saint-Germain-de-Joux";"01130";"01357";3
"ST GERMAIN LES PAROISSES";"Saint-Germain-les-Paroisses";"01300";"01358";3
"ST GERMAIN SUR RENON";"Saint-Germain-sur-Renon";"01240";"01359";3
"ST JEAN DE GONVILLE";"Saint-Jean-de-Gonville";"01630";"01360";2
"ST JEAN DE NIOST";"Saint-Jean-de-Niost";"01800";"01361";3
"ST JEAN DE THURIGNEUX";"Saint-Jean-de-Thurigneux";"01390";"01362";3
"ST JEAN LE VIEUX";"Saint-Jean-le-Vieux";"01640";"01363";3
"ST JEAN SUR REYSSOUZE";"Saint-Jean-sur-Reyssouze";"01560";"01364";3
"ST JEAN SUR VEYLE";"Saint-Jean-sur-Veyle";"01290";"01365";3
"STE JULIE";"Sainte-Julie";"01150";"01366";3
"ST JULIEN SUR REYSSOUZE";"Saint-Julien-sur-Reyssouze";"01560";"01367";3
"ST JULIEN SUR VEYLE";"Saint-Julien-sur-Veyle";"01540";"01368";3
"ST JUST";"Saint-Just";"01250";"01369";3
"ST LAURENT SUR SAONE";"Saint-Laurent-sur-Saône";"01750";"01370";3
"ST MARCEL";"Saint-Marcel";"01390";"01371";3
"ST MARTIN DE BAVEL";"Saint-Martin-de-Bavel";"01510";"01372";3
"ST MARTIN DU FRENE";"Saint-Martin-du-Frêne";"01430";"01373";3
"ST MARTIN DU MONT";"Saint-Martin-du-Mont";"01160";"01374";3
"ST MARTIN LE CHATEL";"Saint-Martin-le-Châtel";"01310";"01375";3
"ST MAURICE DE BEYNOST";"Saint-Maurice-de-Beynost";"01700";"01376";2
"ST MAURICE DE GOURDANS";"Saint-Maurice-de-Gourdans";"01800";"01378";3
"ST MAURICE DE REMENS";"Saint-Maurice-de-Rémens";"01500";"01379";3
"ST NIZIER LE BOUCHOUX";"Saint-Nizier-le-Bouchoux";"01560";"01380";3
"ST NIZIER LE DESERT";"Saint-Nizier-le-Désert";"01320";"01381";3
"STE OLIVE";"Sainte-Olive";"01330";"01382";3
"ST PAUL DE VARAX";"Saint-Paul-de-Varax";"01240";"01383";3
"ST RAMBERT EN BUGEY";"Saint-Rambert-en-Bugey";"01230";"01384";3
"ST REMY";"Saint-Rémy";"01310";"01385";3
"ST SORLIN EN BUGEY";"Saint-Sorlin-en-Bugey";"01150";"01386";3
"ST SULPICE";"Saint-Sulpice";"01340";"01387";3
"ST TRIVIER DE COURTES";"Saint-Trivier-de-Courtes";"01560";"01388";3
"ST TRIVIER SUR MOIGNANS";"Saint-Trivier-sur-Moignans";"01990";"01389";3
"ST VULBAS";"Saint-Vulbas";"01150";"01390";3
"SALAVRE";"Salavre";"01270";"01391";3
"SAMOGNAT";"Samognat";"01580";"01392";3
"SANDRANS";"Sandrans";"01400";"01393";3
"SAUVERNY";"Sauverny";"01220";"01397";2
"SAVIGNEUX";"Savigneux";"01480";"01398";3
"SEGNY";"Ségny";"01170";"01399";2
"SEILLONNAZ";"Seillonnaz";"01470";"01400";3
"SERGY";"Sergy";"01630";"01401";2
"SERMOYER";"Sermoyer";"01190";"01402";3
"SERRIERES DE BRIORD";"Serrières-de-Briord";"01470";"01403";3
"SERRIERES SUR AIN";"Serrières-sur-Ain";"01450";"01404";3
"SERVAS";"Servas";"01960";"01405";3
"SERVIGNAT";"Servignat";"01560";"01406";3
