,TU99,TAU99,REG,POL99,proba_zone1,proba_zone2,proba_zone3
230,1,0,72,4,0.0,0.0,1.0
231,1,0,73,3,0.0,0.0,1.0
232,1,0,73,4,0.0,0.0,1.0
233,1,0,74,4,0.0,0.0,1.0
234,1,0,82,3,0.0,0.0654584104528,0.934541589547
235,1,0,82,4,0.0,0.0,1.0
236,1,0,83,3,0.0,0.0,1.0
237,1,0,83,4,0.0,0.0,1.0
238,1,0,91,3,0.0,0.0,1.0
239,1,0,91,4,0.0,0.0,1.0
240,1,0,93,3,0.0,0.0,1.0
241,1,0,93,4,0.0,0.0,1.0
242,1,0,94,4,0.0,1.0,0.0
243,1,1,41,1,0.0,0.0,1.0
244,1,2,93,2,0.0,0.0,1.0
245,1,3,11,2,0.0,1.0,0.0
246,1,3,24,2,0.0,0.0,1.0
247,1,4,23,2,0.0,0.0,1.0
248,1,4,24,2,0.0,0.0,1.0
249,1,4,93,2,0.0,0.0,1.0
250,1,5,22,2,0.0,0.0,1.0
251,1,5,41,2,0.0,0.0,1.0
252,1,5,52,2,0.0,0.0,1.0
253,1,5,53,2,0.0,0.0,1.0
254,1,6,21,2,0.0,0.0,1.0
255,1,6,22,2,0.0,0.0,1.0
256,1,6,23,2,0.0,0.0,1.0
257,1,6,24,2,0.0,0.0,1.0
258,1,6,26,2,0.0,0.0,1.0
259,1,6,31,2,0.0,0.0,1.0
260,1,6,41,2,0.0,0.0,1.0
261,1,6,42,2,0.0,0.0,1.0
262,1,6,52,2,0.0,0.0,1.0
263,1,6,53,2,0.0,0.0,1.0
264,1,6,54,2,0.0,0.0,1.0
265,1,6,72,2,0.0,0.0,1.0
266,1,6,73,2,0.0,0.0,1.0
267,1,6,82,2,0.0,0.0,1.0
268,1,6,83,2,0.0,0.0,1.0
269,1,6,91,2,0.0,0.0,1.0
270,1,6,94,2,0.0,1.0,0.0
271,1,7,21,2,0.0,0.0,1.0
272,1,7,22,2,0.0,0.0,1.0
273,1,7,24,2,0.0,0.0,1.0
274,1,7,26,2,0.0,0.0,1.0
275,1,7,31,2,0.0,0.0,1.0
276,1,7,41,2,0.0,0.0,1.0
277,1,7,42,2,0.0,0.0,1.0
278,1,7,43,2,0.0,0.0,1.0
279,1,7,52,2,0.0,0.0,1.0
280,1,7,53,2,0.0,0.0,1.0
281,1,7,54,2,0.0,0.0,1.0
282,1,7,73,2,0.0,0.0,1.0
283,1,7,82,2,0.0,0.0,1.0
284,1,7,91,2,0.0,0.0,1.0
285,1,8,21,2,0.0,0.0,1.0
286,1,8,22,2,0.0,0.0,1.0
287,1,8,23,2,0.0,0.0,1.0
288,1,8,24,2,0.0,0.0,1.0
289,1,8,25,2,0.0,0.0,1.0
290,1,8,26,2,0.0,0.0,1.0
291,1,8,31,2,0.0,0.350441804422,0.649558195578
292,1,8,41,2,0.0,0.0,1.0
293,1,8,42,2,0.0,0.0,1.0
294,1,8,43,2,0.0,0.0,1.0
295,1,8,52,2,0.0,0.0,1.0
296,1,8,53,2,0.0,0.0,1.0
297,1,8,54,2,0.0,0.0,1.0
298,1,8,72,2,0.0,0.0,1.0
299,1,8,74,2,0.0,0.0,1.0
300,1,8,82,2,0.0,0.596125518904,0.403874481096
301,1,8,83,2,0.0,0.0,1.0
302,1,8,91,2,0.0,0.0,1.0
303,1,8,93,2,0.0,0.0,1.0
304,1,9,23,2,0.0,0.0,1.0
305,1,9,31,2,0.0,0.375130482947,0.624869517053
306,1,9,42,2,0.0,0.13993029887,0.86006970113
307,1,9,52,2,0.0,0.0,1.0
308,1,9,53,2,0.0,0.0,1.0
309,1,9,72,2,0.0,0.0583751253761,0.941624874624
310,1,9,73,2,0.0,0.0,1.0
311,1,9,82,2,0.0,0.0796672282335,0.920332771767
312,1,9,93,2,0.0,0.0447216006318,0.955278399368
313,1,10,11,2,0.504661409852,0.495338590148,0.0
314,1,10,22,2,0.0,0.44225005521,0.55774994479
315,1,10,23,2,0.0,0.0,1.0
316,1,10,24,2,0.0,0.0,1.0
317,2,0,1,2,0.0,0.0,1.0
318,2,0,1,4,0.0,0.0,1.0
319,2,0,2,3,0.0,0.0,1.0
320,2,0,2,4,0.0,0.0,1.0
321,2,0,3,2,0.0,0.0,1.0
322,2,0,4,3,0.0,0.0,1.0
323,2,0,4,4,0.0,0.0,1.0
324,2,0,11,3,0.0,1.0,0.0
325,2,0,11,4,0.0,1.0,0.0
326,2,0,21,3,0.0,0.0,1.0
327,2,0,21,4,0.0,0.0,1.0
328,2,0,22,3,0.0,0.0,1.0
329,2,0,22,4,0.0,0.0,1.0
330,2,0,23,3,0.0,0.0,1.0
331,2,0,23,4,0.0,0.0,1.0
332,2,0,24,3,0.0,0.0,1.0
333,2,0,24,4,0.0,0.0,1.0
334,2,0,25,4,0.0,0.0,1.0
335,2,0,26,3,0.0,0.349585259292,0.650414740708
336,2,0,26,4,0.0,0.0,1.0
337,2,0,31,3,0.0,0.24012690303,0.75987309697
338,2,0,31,4,0.0,0.0,1.0
339,2,0,41,3,0.0,0.0,1.0
340,2,0,41,4,0.0,0.0,1.0
341,2,0,42,3,0.0,0.0,1.0
342,2,0,42,4,0.0,0.0,1.0
343,2,0,43,3,0.0,0.0,1.0
344,2,0,43,4,0.0,0.0,1.0
345,2,0,52,3,0.0,0.0,1.0
346,2,0,52,4,0.0,0.0,1.0
347,2,0,53,3,0.0,0.0,1.0
348,2,0,53,4,0.0,0.0,1.0
349,2,0,54,4,0.0,0.0,1.0
350,2,0,72,3,0.0,0.0,1.0
351,2,0,72,4,0.0,0.0,1.0
352,2,0,73,3,0.0,0.0,1.0
353,2,0,73,4,0.0,0.0,1.0
354,2,0,74,4,0.0,0.0,1.0
355,2,0,82,3,0.0,0.0,1.0
356,2,0,82,4,0.0,0.0,1.0
357,2,0,83,4,0.0,0.0,1.0
358,2,0,91,3,0.0,0.0,1.0
359,2,0,91,4,0.0,0.0,1.0
360,2,0,93,3,0.0,0.0,1.0
361,2,0,93,4,0.0,0.084731711215,0.915268288785
362,2,0,94,4,0.0,1.0,0.0
363,2,1,23,1,0.0,0.0,1.0
364,2,1,31,1,0.0,0.0,1.0
365,2,1,42,1,0.0,0.0,1.0
366,2,1,52,1,0.0,0.0,1.0
367,2,1,53,1,0.0,0.0,1.0
368,2,1,72,1,0.0,0.0,1.0
369,2,1,82,1,0.0,0.0,1.0
370,2,1,93,1,0.0,0.0,1.0
